country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",08-02-2026 21:00:00,16.509717,80.612222,OZONE,11,13,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-02-2026 21:00:00,16.554731,80.649110,SO2,15,17,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-02-2026 21:00:00,16.554731,80.649110,CO,27,34,28
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-02-2026 21:00:00,16.554731,80.649110,OZONE,20,20,20
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",08-02-2026 21:00:00,17.72,83.3,PM2.5,70,322,150
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",08-02-2026 21:00:00,27.103358,93.679645,PM2.5,77,412,181
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",08-02-2026 21:00:00,27.103358,93.679645,PM10,85,418,160
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",08-02-2026 21:00:00,27.103358,93.679645,NO2,7,7,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",08-02-2026 21:00:00,27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",08-02-2026 21:00:00,26.071318,91.87488,PM2.5,90,276,145
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",08-02-2026 21:00:00,26.10887,91.589544,NO2,13,40,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",08-02-2026 21:00:00,26.10887,91.589544,NH3,5,7,5
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",08-02-2026 21:00:00,26.187500,91.744194,SO2,24,43,32
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",08-02-2026 21:00:00,26.187500,91.744194,CO,16,88,38
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",08-02-2026 21:00:00,26.187500,91.744194,OZONE,13,20,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",08-02-2026 21:00:00,26.181742,91.78063,PM10,125,309,187
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",08-02-2026 21:00:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-02-2026 21:00:00,26.349082,92.68449,PM10,91,143,114
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-02-2026 21:00:00,26.446912,91.439057,PM2.5,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-02-2026 21:00:00,26.446912,91.439057,PM10,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-02-2026 21:00:00,26.446912,91.439057,NH3,6,7,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-02-2026 21:00:00,26.446912,91.439057,SO2,7,8,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-02-2026 21:00:00,24.82827,92.79525,PM2.5,22,77,49
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-02-2026 21:00:00,24.82827,92.79525,OZONE,2,3,3
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-02-2026 21:00:00,24.792403,84.992416,OZONE,18,47,38
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",08-02-2026 21:00:00,24.762518,84.982348,NO2,19,23,21
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",08-02-2026 21:00:00,25.697189,85.245900,CO,10,48,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",08-02-2026 21:00:00,25.560083,87.553265,PM2.5,42,107,73
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",08-02-2026 21:00:00,25.560083,87.553265,OZONE,5,13,10
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",08-02-2026 21:00:00,26.0881305,87.93840336,OZONE,32,34,32
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",08-02-2026 21:00:00,27.308328,84.531742,CO,16,34,30
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",08-02-2026 21:00:00,25.859655,85.77944,CO,8,10,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-02-2026 21:00:00,24.952822,84.002396,PM2.5,8,27,13
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-02-2026 21:00:00,24.952822,84.002396,PM10,20,77,40
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-02-2026 21:00:00,24.952822,84.002396,SO2,3,5,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-02-2026 21:00:00,24.952822,84.002396,CO,29,66,51
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",08-02-2026 21:00:00,26.2271665,84.3570427,SO2,8,8,8
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-02-2026 21:00:00,30.735567,76.775714,NH3,9,15,12
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-02-2026 21:00:00,30.735567,76.775714,OZONE,10,151,99
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-02-2026 21:00:00,25.265194,87.012947,PM10,75,113,94
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",08-02-2026 21:00:00,25.567520,83.966379,SO2,17,37,28
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",08-02-2026 21:00:00,25.567520,83.966379,CO,20,29,28
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-02-2026 21:00:00,25.7808257,84.7446768,PM2.5,37,287,77
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-02-2026 21:00:00,25.7808257,84.7446768,NH3,6,11,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-02-2026 21:00:00,25.7808257,84.7446768,OZONE,3,6,4
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-02-2026 21:00:00,24.792403,84.992416,PM10,72,196,127
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-02-2026 21:00:00,24.792403,84.992416,NO2,9,14,12
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",08-02-2026 21:00:00,13.67,79.35,PM2.5,92,229,156
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",08-02-2026 21:00:00,13.67,79.35,OZONE,24,79,67
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",08-02-2026 21:00:00,13.615387,79.409230,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",08-02-2026 21:00:00,13.615387,79.409230,OZONE,19,20,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",08-02-2026 21:00:00,16.536107,80.594233,NO2,17,17,17
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",08-02-2026 21:00:00,16.486692,80.699436,NO2,21,22,22
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",08-02-2026 21:00:00,16.509717,80.612222,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",08-02-2026 21:00:00,16.509717,80.612222,PM10,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",08-02-2026 21:00:00,26.146529,87.454184,PM10,36,151,82
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",08-02-2026 21:00:00,26.146529,87.454184,NO2,1,7,3
