country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",08-08-2026 11:00:00,26.253384,72.976571,PM2.5,23,52,35
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",08-08-2026 11:00:00,26.253384,72.976571,NH3,2,3,2
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",08-08-2026 11:00:00,26.253384,72.976571,CO,10,13,11
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",08-08-2026 11:00:00,22.08815,82.13737,NO2,19,25,23
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",08-08-2026 11:00:00,22.08815,82.13737,NH3,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",08-08-2026 11:00:00,22.08815,82.13737,SO2,12,16,15
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",08-08-2026 11:00:00,26.268249,73.0193853,NO2,17,25,20
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",08-08-2026 11:00:00,26.268249,73.0193853,NH3,2,10,6
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",08-08-2026 11:00:00,26.268249,73.0193853,CO,6,42,22
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-08-2026 11:00:00,22.118125,83.140608,NH3,2,2,2
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",08-08-2026 11:00:00,26.215415,73.070156,NH3,4,5,5
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",08-08-2026 11:00:00,26.215415,73.070156,CO,12,17,13
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",08-08-2026 11:00:00,22.348441,82.549611,NO2,4,7,5
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",08-08-2026 11:00:00,22.348441,82.549611,CO,23,28,24
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",08-08-2026 11:00:00,26.506177,77.025989,CO,9,24,15
India,Rajasthan,Khairthal,"New Anaj Mandi, Khairthal - RSPCB",08-08-2026 11:00:00,27.8015617,76.6365217,NH3,2,12,6
India,Rajasthan,Khairthal,"New Anaj Mandi, Khairthal - RSPCB",08-08-2026 11:00:00,27.8015617,76.6365217,SO2,5,5,5
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",08-08-2026 11:00:00,22.12665,83.483212,NO2,7,22,15
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",08-08-2026 11:00:00,25.16409,75.858137,PM10,72,115,91
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",08-08-2026 11:00:00,25.16409,75.858137,NO2,9,68,46
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",08-08-2026 11:00:00,22.12665,83.483212,SO2,4,15,10
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",08-08-2026 11:00:00,22.1910172,83.5197009,PM10,14,31,19
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",08-08-2026 11:00:00,25.14389,75.821256,NH3,3,8,6
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",08-08-2026 11:00:00,22.1910172,83.5197009,OZONE,5,26,16
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-08-2026 11:00:00,21.371751,81.664929,NO2,11,38,21
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",08-08-2026 11:00:00,27.213494,73.734444,NO2,2,11,5
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-08-2026 11:00:00,21.371751,81.664929,SO2,0,16,6
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-08-2026 11:00:00,21.371751,81.664929,CO,17,17,17
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",08-08-2026 11:00:00,27.213494,73.734444,CO,14,20,16
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",08-08-2026 11:00:00,25.771061,73.340227,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",08-08-2026 11:00:00,21.258815,81.578979,OZONE,13,17,15
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",08-08-2026 11:00:00,25.771061,73.340227,OZONE,8,35,16
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",08-08-2026 11:00:00,21.237755,81.705301,PM2.5,11,32,23
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",08-08-2026 11:00:00,24.041198,74.780702,NO2,6,13,8
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",08-08-2026 11:00:00,22.06631475,83.33820077,PM2.5,11,24,18
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",08-08-2026 11:00:00,25.03636,73.883502,PM2.5,27,133,65
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-08-2026 11:00:00,24.82827,92.79525,OZONE,2,5,3
India,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",08-08-2026 11:00:00,30.649961,76.331442,CO,63,64,63
India,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",08-08-2026 11:00:00,30.649961,76.331442,OZONE,36,37,37
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",08-08-2026 11:00:00,25.5626095,84.663264,SO2,5,5,5
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-08-2026 11:00:00,24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-08-2026 11:00:00,24.75746,84.366208,NH3,1,2,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-08-2026 11:00:00,24.75746,84.366208,CO,28,28,28
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",08-08-2026 11:00:00,27.554793,76.611536,NO2,42,82,60
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-08-2026 11:00:00,25.42742023,86.13886079,NH3,15,17,16
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-08-2026 11:00:00,25.42742023,86.13886079,OZONE,1,21,10
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",08-08-2026 11:00:00,26.80365,84.51954,PM10,12,25,21
India,Rajasthan,Alwar,"Vigyan Nagar, Alwar - RSPCB",08-08-2026 11:00:00,27.598796,76.63861,OZONE,6,23,11
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",08-08-2026 11:00:00,23.55519,74.44001,PM2.5,27,35,30
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-08-2026 11:00:00,25.265194,87.012947,PM10,21,154,40
