country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-01-2026 15:00:00,25.697189,85.245900,NO2,14,57,34
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-01-2026 15:00:00,25.697189,85.245900,SO2,2,11,7
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-01-2026 15:00:00,25.560083,87.553265,PM10,66,157,102
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-01-2026 15:00:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-01-2026 15:00:00,26.0881305,87.93840336,NO2,8,13,11
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-01-2026 15:00:00,26.0881305,87.93840336,CO,15,24,21
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-01-2026 15:00:00,26.0881305,87.93840336,OZONE,16,18,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-01-2026 15:00:00,27.308328,84.531742,SO2,16,17,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-01-2026 15:00:00,27.308328,84.531742,CO,32,33,32
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",20-01-2026 15:00:00,26.63086,84.90051,NO2,4,7,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-01-2026 15:00:00,25.592539,85.227158,PM10,100,109,104
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-01-2026 15:00:00,25.592539,85.227158,OZONE,9,12,10
India,Bihar,Patna,"Muradpur, Patna - BSPCB",20-01-2026 15:00:00,25.619651,85.147382,PM10,110,127,117
India,Bihar,Patna,"Muradpur, Patna - BSPCB",20-01-2026 15:00:00,25.619651,85.147382,SO2,8,10,9
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-01-2026 15:00:00,25.599486,85.113666,PM10,76,219,120
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-01-2026 15:00:00,25.599486,85.113666,OZONE,23,29,26
India,Bihar,Patna,"Samanpura, Patna - BSPCB",20-01-2026 15:00:00,25.596727,85.085624,CO,2,111,69
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-01-2026 15:00:00,25.366336,87.117468,PM2.5,82,163,119
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-01-2026 15:00:00,25.366336,87.117468,NO2,5,7,6
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",20-01-2026 15:00:00,26.63086,84.90051,CO,16,30,20
India,Bihar,Munger,"Town Hall, Munger - BSPCB",20-01-2026 15:00:00,25.376776,86.471523,PM10,35,95,60
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-01-2026 15:00:00,26.11442,85.39813,PM2.5,74,210,144
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-01-2026 15:00:00,26.11442,85.39813,CO,35,104,58
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",20-01-2026 15:00:00,26.1403345,85.3650192,PM10,69,77,73
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-01-2026 15:00:00,26.1209,85.3647,CO,8,43,29
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-01-2026 15:00:00,25.586562,85.043586,SO2,5,8,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-01-2026 15:00:00,26.071318,91.87488,NO2,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-01-2026 15:00:00,26.10887,91.589544,NO2,12,20,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-01-2026 15:00:00,26.10887,91.589544,SO2,7,21,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2026 15:00:00,26.187500,91.744194,PM2.5,65,269,160
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2026 15:00:00,26.187500,91.744194,SO2,25,47,35
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2026 15:00:00,26.181742,91.78063,PM2.5,99,358,259
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-01-2026 15:00:00,26.349082,92.68449,PM10,76,128,106
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-01-2026 15:00:00,24.75746,84.366208,PM10,110,288,150
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",20-01-2026 15:00:00,25.42742023,86.13886079,PM10,81,292,156
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-01-2026 15:00:00,26.80365,84.51954,NO2,7,9,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-01-2026 15:00:00,25.251013,86.989001,PM2.5,62,200,114
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-01-2026 15:00:00,25.251013,86.989001,SO2,22,64,41
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",20-01-2026 15:00:00,25.265194,87.012947,NO2,7,8,7
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-01-2026 15:00:00,16.536107,80.594233,NO2,19,33,24
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",20-01-2026 15:00:00,16.486692,80.699436,PM2.5,48,92,60
