country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",04-06-2026 13:00:00,26.63086,84.90051,OZONE,20,39,32
India,Bihar,Munger,"Town Hall, Munger - BSPCB",04-06-2026 13:00:00,25.376776,86.471523,CO,12,22,18
India,Bihar,Munger,"Town Hall, Munger - BSPCB",04-06-2026 13:00:00,25.376776,86.471523,OZONE,1,8,2
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-06-2026 13:00:00,26.11442,85.39813,NO2,19,39,27
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-06-2026 13:00:00,26.11442,85.39813,CO,12,62,28
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",04-06-2026 13:00:00,26.1403345,85.3650192,CO,19,40,26
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",04-06-2026 13:00:00,26.1209,85.3647,NO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",04-06-2026 13:00:00,26.1209,85.3647,OZONE,12,82,14
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",04-06-2026 13:00:00,25.586562,85.043586,NO2,29,36,32
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",04-06-2026 13:00:00,25.586562,85.043586,NH3,9,10,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",04-06-2026 13:00:00,25.586562,85.043586,OZONE,2,54,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",04-06-2026 13:00:00,25.592539,85.227158,NH3,4,7,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",04-06-2026 13:00:00,25.592539,85.227158,SO2,8,9,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",04-06-2026 13:00:00,25.592539,85.227158,OZONE,20,89,50
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",04-06-2026 13:00:00,25.610369,85.132568,SO2,1,22,14
India,Bihar,Patna,"Muradpur, Patna - BSPCB",04-06-2026 13:00:00,25.619651,85.147382,PM2.5,72,84,77
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",04-06-2026 13:00:00,25.42742023,86.13886079,CO,6,19,12
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",04-06-2026 13:00:00,26.80365,84.51954,PM10,12,73,36
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",04-06-2026 13:00:00,26.80365,84.51954,OZONE,20,23,22
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",04-06-2026 13:00:00,25.251013,86.989001,PM2.5,25,193,75
