country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16-06-2026 15:00:00,16.711754,81.092095,PM2.5,42,60,50
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16-06-2026 15:00:00,16.711754,81.092095,CO,11,42,24
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16-06-2026 15:00:00,16.711754,81.092095,OZONE,10,52,24
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16-06-2026 15:00:00,16.316553,80.413302,PM10,52,83,62
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16-06-2026 15:00:00,16.316553,80.413302,NH3,6,19,11
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16-06-2026 15:00:00,16.316553,80.413302,SO2,13,24,17
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",16-06-2026 15:00:00,14.465052,78.824187,NO2,19,27,26
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16-06-2026 15:00:00,16.186555,81.13219,PM10,40,293,79
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16-06-2026 15:00:00,16.186555,81.13219,SO2,13,24,16
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",16-06-2026 15:00:00,25.5626095,84.663264,OZONE,4,12,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",16-06-2026 15:00:00,24.75746,84.366208,NH3,1,2,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",16-06-2026 15:00:00,25.42742023,86.13886079,PM2.5,38,148,73
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",16-06-2026 15:00:00,25.42742023,86.13886079,SO2,13,41,29
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",16-06-2026 15:00:00,26.80365,84.51954,CO,24,56,39
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",16-06-2026 15:00:00,25.265194,87.012947,CO,25,59,39
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",16-06-2026 15:00:00,25.204762,85.514960,PM2.5,25,68,46
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",16-06-2026 15:00:00,26.10887,91.589544,OZONE,19,44,38
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",16-06-2026 15:00:00,26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",16-06-2026 15:00:00,26.181742,91.78063,NH3,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",16-06-2026 15:00:00,26.349082,92.68449,CO,10,25,22
India,Assam,Silchar,"Tarapur, Silchar - PCBA",16-06-2026 15:00:00,24.82827,92.79525,NH3,1,1,1
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16-06-2026 15:00:00,16.5150833,80.5181667,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16-06-2026 15:00:00,16.5150833,80.5181667,NO2,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",16-06-2026 15:00:00,14.675886,77.593027,NO2,18,29,23
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",16-06-2026 15:00:00,14.675886,77.593027,NH3,1,3,2
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",16-06-2026 15:00:00,13.204880,79.097889,SO2,14,29,27
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",16-06-2026 15:00:00,13.67,79.35,OZONE,16,31,23
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",16-06-2026 15:00:00,13.615387,79.409230,PM2.5,49,62,53
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16-06-2026 15:00:00,16.536107,80.594233,NO2,17,23,21
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-06-2026 15:00:00,16.486692,80.699436,SO2,14,21,16
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-06-2026 15:00:00,16.486692,80.699436,OZONE,31,49,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16-06-2026 15:00:00,16.509717,80.612222,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16-06-2026 15:00:00,16.509717,80.612222,OZONE,19,56,40
India,Assam,Silchar,"Tarapur, Silchar - PCBA",16-06-2026 15:00:00,24.82827,92.79525,CO,25,44,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",16-06-2026 15:00:00,26.987634,94.636574,OZONE,12,76,59
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16-06-2026 15:00:00,16.9872867,81.7363176,NH3,3,4,4
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16-06-2026 15:00:00,16.9872867,81.7363176,SO2,5,15,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",16-06-2026 15:00:00,17.72,83.3,SO2,2,38,14
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",16-06-2026 15:00:00,27.103358,93.679645,SO2,11,11,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",16-06-2026 15:00:00,21.224231,81.408350,NO2,8,61,30
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",16-06-2026 15:00:00,21.224231,81.408350,NH3,4,6,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",16-06-2026 15:00:00,21.224231,81.408350,SO2,7,14,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",16-06-2026 15:00:00,21.224231,81.408350,OZONE,5,24,19
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",16-06-2026 15:00:00,22.118125,83.140608,NO2,9,26,17
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",16-06-2026 15:00:00,22.368195,82.746431,PM2.5,13,50,30
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",16-06-2026 15:00:00,22.368195,82.746431,NO2,14,90,32
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",16-06-2026 15:00:00,22.348441,82.549611,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",16-06-2026 15:00:00,22.348441,82.549611,OZONE,2,5,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",16-06-2026 15:00:00,22.1910172,83.5197009,OZONE,2,180,104
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",16-06-2026 15:00:00,21.258815,81.578979,PM10,29,70,53
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",16-06-2026 15:00:00,21.258815,81.578979,SO2,5,10,6
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",16-06-2026 15:00:00,21.258815,81.578979,CO,20,36,31
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",16-06-2026 15:00:00,26.1209,85.3647,CO,18,93,54
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",16-06-2026 15:00:00,25.586562,85.043586,SO2,5,9,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",16-06-2026 15:00:00,25.592539,85.227158,NO2,12,12,12
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",16-06-2026 15:00:00,25.592539,85.227158,OZONE,22,90,65
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",16-06-2026 15:00:00,25.610369,85.132568,PM2.5,42,120,66
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",16-06-2026 15:00:00,25.610369,85.132568,CO,25,39,33
India,Bihar,Patna,"Muradpur, Patna - BSPCB",16-06-2026 15:00:00,25.619651,85.147382,PM10,125,190,155
India,Bihar,Patna,"Muradpur, Patna - BSPCB",16-06-2026 15:00:00,25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",16-06-2026 15:00:00,25.599486,85.113666,NO2,26,34,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",16-06-2026 15:00:00,25.599486,85.113666,OZONE,23,34,31
India,Bihar,Patna,"Samanpura, Patna - BSPCB",16-06-2026 15:00:00,25.596727,85.085624,NO2,15,23,20
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",16-06-2026 15:00:00,24.762518,84.982348,NO2,18,26,23
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",16-06-2026 15:00:00,24.762518,84.982348,NH3,4,6,5
