country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",28-07-2026 05:00:00,16.186555,81.13219,OZONE,18,18,18
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",28-07-2026 05:00:00,14.438164,79.966814,NH3,6,8,7
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",28-07-2026 05:00:00,14.438164,79.966814,SO2,8,15,13
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",28-07-2026 05:00:00,16.9872867,81.7363176,PM2.5,5,40,17
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",28-07-2026 05:00:00,16.9872867,81.7363176,CO,13,31,18
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",28-07-2026 05:00:00,16.9872867,81.7363176,OZONE,43,236,113
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",28-07-2026 05:00:00,18.292191,83.897173,NO2,27,86,40
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",28-07-2026 05:00:00,18.292191,83.897173,SO2,14,16,15
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",28-07-2026 05:00:00,13.615387,79.40923,PM10,58,74,63
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",28-07-2026 05:00:00,13.615387,79.40923,OZONE,29,30,29
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",28-07-2026 05:00:00,16.509717,80.612222,NO2,NA,NA,NA
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",28-07-2026 05:00:00,16.509717,80.612222,SO2,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",28-07-2026 05:00:00,26.446912,91.439057,NO2,13,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA",28-07-2026 05:00:00,24.82827,92.79525,SO2,4,6,5
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",28-07-2026 05:00:00,26.987634,94.636574,CO,12,21,17
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",28-07-2026 05:00:00,26.146529,87.454184,NO2,7,20,14
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",28-07-2026 05:00:00,26.146529,87.454184,CO,10,25,15
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",28-07-2026 05:00:00,26.146529,87.454184,OZONE,38,39,39
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",28-07-2026 05:00:00,24.75746,84.366208,NH3,1,2,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",28-07-2026 05:00:00,25.42742023,86.13886079,NH3,15,17,16
