station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
"Sanpada, Navi Mumbai - MPCB",2026-09-09,0.7529,1.0,1.0887,1.0,0.8863,High,Navi Mumbai,Maharashtra,19.0575752,73.0151367
"Sardar Patel Inter College, Baghpat - UPPCB",2026-09-09,1.2367,1.1695,1.3014,0.99,1.2352,High,Baghpat,Uttar Pradesh,28.964949,77.278761
"Sardar Patel Nagar, Dhanbad - JSPCB",2026-09-08,1.5083,1.3651,1.0,0.64,1.3275,Low,Dhanbad,Jharkhand,23.80569,86.44268
"Satyawati Vihar, Karauli - RSPCB",2026-09-09,1.0366,1.0,1.1624,0.98,1.0572,High,Karauli,Rajasthan,26.506177,77.025989
"Savitribai Phule Pune University, Pune - MPCB",2026-09-09,0.7889,1.0,1.0666,0.94,0.9026,High,Pune,Maharashtra,18.547056,73.826908
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-09-09,1.0944,1.0,1.1867,0.89,1.0919,High,Pimpri-Chinchwad,Maharashtra,18.614767,73.799516
"Sawe Wadi, Latur - MPCB",2026-09-09,0.971,1.0,1.1336,1.0,1.0167,High,Latur,Maharashtra,18.39963,76.57452
"Science Center, Surat - SMC",2026-09-09,1.203,1.0,1.0928,0.9,1.1214,High,Surat,Gujarat,21.170046,72.795405
"Secretariat, Amaravati - APPCB",2026-09-09,1.1236,1.1168,1.3341,0.92,1.1711,High,Amaravati,Andhra Pradesh,16.5150833,80.5181667
"Sector - 125, Noida - UPPCB",2026-09-09,1.5768,1.6781,1.4161,0.99,1.5591,High,Noida,Uttar Pradesh,28.5447608,77.3231257
"Sector - 62, Noida - IITM",2026-09-09,1.7127,1.6442,1.5757,0.89,1.6603,High,Noida,Uttar Pradesh,28.6245479,77.3577104
"Sector 11, Faridabad - HSPCB",2026-09-09,2.3113,1.9493,1.5761,0.99,2.0128,High,Faridabad,Haryana,28.376058,77.315741
"Sector 22, Chandigarh - CPCC",2026-09-09,0.8801,1.0,1.1471,0.99,0.9709,High,Chandigarh,Chandigarh,30.735567,76.775714
"Sector 30, Faridabad - HSPCB",2026-09-09,1.769,1.5521,1.2917,0.98,1.5826,High,Faridabad,Haryana,28.4417,77.3217
"Sector-1, Noida - UPPCB",2026-09-09,1.5064,1.5866,1.2134,0.98,1.4457,High,Noida,Uttar Pradesh,28.5898,77.3101
"Sector-10, Gandhinagar - GPCB",2026-09-09,1.0942,1.0389,1.2201,0.92,1.1099,High,Gandhinagar,Gujarat,23.221714,72.654328
"Sector-116, Noida - UPPCB",2026-09-09,1.9865,1.9661,1.5876,0.98,1.8734,High,Noida,Uttar Pradesh,28.56923,77.393848
"Sector-12, Karnal - HSPCB",2026-09-09,1.3715,1.3667,1.4567,1.0,1.3911,High,Karnal,Haryana,29.6953,77.0027
"Sector-18, Panipat - HSPCB",2026-09-09,2.0051,1.8971,1.8998,0.98,1.9511,High,Panipat,Haryana,29.432304,76.972765
"Sector-2 IMT, Manesar - HSPCB",2026-09-09,1.8565,1.8764,1.7051,0.95,1.8223,High,Manesar,Haryana,28.360699,76.93609
"Sector-2 Industrial Area, Pithampur - MPPCB",2026-09-09,1.7448,1.8971,1.7266,0.98,1.777,High,Pithampur,Madhya Pradesh,22.624758,75.675238
"Sector-2 Murlipura, Jaipur - RSPCB",2026-09-09,1.3379,1.2712,1.2917,0.99,1.3094,High,Jaipur,Rajasthan,26.960669,75.771817
"Sector-2, Rourkela - OSPCB",2026-09-09,1.0867,1.0,1.0,0.78,1.0425,Medium,Rourkela,Odisha,22.245,84.88111111
"Sector-25, Chandigarh - CPCC",2026-09-09,1.0177,1.0,1.2354,0.99,1.0636,High,Chandigarh,Chandigarh,30.751462,76.762879
"Sector-2E Kalamboli, Navi Mumbai - MPCB",2026-09-09,0.8464,1.0,1.1107,1.0,0.9445,High,Navi Mumbai,Maharashtra,19.02579,73.10297
"Sector-3B Avas Vikas Colony, Agra - UPPCB",2026-09-09,1.3901,1.1432,1.1856,0.96,1.2721,High,Agra,Uttar Pradesh,27.19412,77.96237
"Sector-51, Gurugram - HSPCB",2026-09-09,1.8963,1.7877,1.7557,0.96,1.8329,High,Gurugram,Haryana,28.4227,77.0667
"Sector-53, Chandigarh - CPCC",2026-09-09,0.7834,1.0,1.1492,0.93,0.9164,High,Chandigarh,Chandigarh,30.719859,76.738637
"Sector-6, Panchkula - HSPCB ",2026-09-09,1.3149,1.0,1.1307,0.89,1.1824,High,Panchkula,Haryana,30.7057778,76.8531805555555
"Sector-7, Kurukshetra - HSPCB",2026-09-09,1.3808,1.3667,1.2758,1.0,1.3503,High,Kurukshetra,Haryana,29.966942,76.875879
"Sector-D Industrial Area, Mandideep - MPPCB",2026-09-09,1.476,1.5667,1.3927,1.0,1.4766,High,Mandideep,Madhya Pradesh,23.10844,77.511428
"Semmandalam, Cuddalore - TNPCB",2026-09-09,1.1967,1.207,1.2397,0.47,1.2099,Low,Cuddalore,Tamil Nadu,11.7637683,79.7499835
"Sewri, Mumbai - BMC",2026-09-09,0.8787,1.0,1.0739,0.99,0.9542,High,Mumbai,Maharashtra,19.000084,72.85673
"Shadipur, Delhi - CPCB",2026-09-09,1.3457,1.1695,1.2212,0.99,1.2681,High,Delhi,Delhi,28.6514781,77.1473105
"Shahjahan Garden, Agra - UPPCB",2026-09-09,1.1802,1.1,1.1387,1.0,1.1493,High,Agra,Uttar Pradesh,27.169338,78.03582
"Shasthri Nagar, Ratlam - IPCA Lab",2026-09-09,1.3173,1.0,1.075,0.88,1.1687,High,Ratlam,Madhya Pradesh,23.331731,75.045981
"Shastri Nagar, Chittorgarh - RSPCB",2026-09-09,1.4321,1.3667,1.3621,1.0,1.3978,High,Chittorgarh,Rajasthan,24.892047,74.623527
"Shastri Nagar, Jaipur - RSPCB",2026-09-09,1.6013,1.9316,1.3621,0.98,1.6117,High,Jaipur,Rajasthan,26.9502929,75.730943
"Shastri Nagar, Narnaul - HSPCB",2026-09-09,1.6353,1.6667,1.2143,1.0,1.5253,High,Narnaul,Haryana,28.060249,76.113115
"Shastri Nagar, Tonk - RSPCB",2026-09-09,1.4243,1.6333,1.3621,1.0,1.4576,High,Tonk,Rajasthan,26.159933,75.780517
"Shastripuram, Agra - UPPCB",2026-09-09,1.2088,1.0345,1.1491,0.98,1.148,High,Agra,Uttar Pradesh,27.19862,77.92066
"Shivaji Nagar, Jhansi - UPPCB",2026-09-09,1.1921,1.0,1.1543,0.97,1.1317,High,Jhansi,Uttar Pradesh,25.4547,78.6039
"Shivaji Nagar, Mumbai - BMC",2026-09-09,0.9906,1.0,1.2804,0.99,1.0587,High,Mumbai,Maharashtra,19.060498,72.923356
"Shivaji Nagar, Rishikesh - UKPCB",2026-09-09,0.3586,1.0,1.0,1.0,0.5989,High,Rishikesh,Uttarakhand,30.075911,78.2859547
"Shivaji University, Kolhapur - MPCB",2026-09-09,0.8793,1.0,1.1471,0.98,0.9704,High,Kolhapur,Maharashtra,16.6870449,74.2505872
"Shivapura_Peenya, Bengaluru - KSPCB",2026-09-09,1.2508,1.0,1.0375,0.91,1.1287,High,Bengaluru,Karnataka,13.0246342,77.5080115
"Shivneri Colony, Amravati - MPCB",2026-09-09,0.9134,1.0,1.1471,0.98,0.9891,High,Amravati,Maharashtra,20.9402359,77.7895248
"Shri Shivaji Science College, Amravati - MPCB",2026-09-09,0.9052,1.0,1.2292,0.97,1.0018,High,Amravati,Maharashtra,20.939198,77.765701
"Shrinath Puram, Kota - RSPCB",2026-09-09,1.2722,1.0345,1.1307,0.98,1.173,High,Kota,Rajasthan,25.14389,75.821256
"Shrivastav Colony, Damoh - MPPCB",2026-09-09,0.9265,1.0,1.0279,0.88,0.9692,High,Damoh,Madhya Pradesh,23.81748678,79.446246
"Shyam Nagar, Palwal - HSPCB",2026-09-09,1.2886,1.3333,1.1142,1.0,1.2532,High,Palwal,Haryana,28.1485564,77.3320667
"Siddharth Nagar-Worli, Mumbai - IITM",2026-09-09,0.8361,1.0,1.0887,0.8,0.934,Medium,Mumbai,Maharashtra,19.000083,72.813993
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",2026-09-09,1.036,1.0345,1.4621,0.98,1.1288,High,Ulhasnagar,Maharashtra,19.235581,73.159121
"Sikulpuikawn, Aizawl - Mizoram PCB",2026-09-09,0.3162,1.0,1.0111,0.81,0.5639,Medium,Aizawl,Mizoram,23.7176342,92.7192841
"Silk Board, Bengaluru - KSPCB",2026-09-09,1.6078,1.5963,1.4261,0.94,1.5575,High,Bengaluru,Karnataka,12.917348,77.622813
"Siltara Phase-II, Raipur - CECB",2026-09-09,1.2277,1.1,1.3208,1.0,1.2165,High,Raipur,Chhattisgarh,21.371751,81.664929
"Sinchan Bhavan, Kolhapur - MPCB",2026-09-09,0.7169,1.0,1.0739,0.92,0.8619,High,Kolhapur,Maharashtra,16.7143745,74.2426398
"Sion, Mumbai - MPCB",2026-09-09,0.8147,1.0716,1.233,0.86,0.9677,High,Mumbai,Maharashtra,19.047,72.8746
"Sirifort, Delhi - CPCB",2026-09-09,1.7043,1.8667,1.3838,1.0,1.655,High,Delhi,Delhi,28.5504249,77.2159377
"Sita Rama Nagar, Kurnool - APPCB",2026-09-09,1.1608,1.0,1.0936,0.93,1.1018,High,Kurnool,Andhra Pradesh,15.83411,78.028546
"Skara Yokma, Leh - LPCC",2026-08-29,0.8047,1.1771,1.521,0.77,1.0377,Medium,Leh,Ladakh,34.147096,77.55709
"Sneh Nagar, Nanded - MPCB",2026-09-09,1.0337,1.0,1.1674,0.98,1.0568,High,Nanded,Maharashtra,19.173852,77.296291
"Somajiguda, Hyderabad - TSPCB",2026-09-09,1.3749,1.2415,1.1491,0.98,1.2815,High,Hyderabad,Telangana,17.417094,78.457437
"Sonia Vihar, Delhi - DPCC",2026-09-09,1.6128,1.7667,1.6205,1.0,1.6519,High,Delhi,Delhi,28.710508,77.249485
"Sri Aurobindo Marg, Delhi - DPCC",2026-09-09,1.3933,1.3162,1.2384,0.97,1.3338,High,Delhi,Delhi,28.531346,77.190156
"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-09-09,1.3588,1.0358,1.1122,0.96,1.2076,High,Machilipatnam,Andhra Pradesh,16.186555,81.13219
"Stuart Hill, Madikeri - KSPCB",2026-09-09,0.6711,1.0,1.0555,0.98,0.8303,High,Madikeri,Karnataka,12.415911,75.73505
"Subash Chowk, Churu - RSPCB",2026-09-08,1.0214,1.1074,1.1974,0.96,1.0845,High,Churu,Rajasthan,28.296139,74.961696
"Suhagi, Jabalpur - JMC",2026-09-09,1.2792,1.1035,1.1439,0.98,1.1988,High,Jabalpur,Madhya Pradesh,23.218135,79.95777
"Suryakiran Bhawan NCL, Singrauli - MPPCB",2026-09-09,1.036,1.0976,1.3959,0.84,1.1324,Medium,Singrauli,Madhya Pradesh,24.10897,82.64558
"T T Nagar, Bhopal - MPPCB",2026-09-09,1.1523,1.0,1.1831,0.99,1.1195,High,Bhopal,Madhya Pradesh,23.233584,77.400574
"Talcher Coalfields,Talcher - OSPCB",2026-09-09,1.4979,1.3807,1.193,0.93,1.3865,High,Talcher,Odisha,20.9360711,85.1707021
"Talkatora District Industries Center, Lucknow - CPCB",2026-09-09,1.1502,1.0678,1.306,0.99,1.1655,High,Lucknow,Uttar Pradesh,26.83399722,80.8917361
"Talkatora Garden, Delhi - DPCC",2026-09-09,1.3535,1.3667,1.2598,1.0,1.3326,High,Delhi,Delhi,28.62181,77.1944633
"Tarakpur, Ahmednagar - MPCB",2026-09-09,0.8096,1.0,1.0666,0.95,0.9144,High,Ahmednagar,Maharashtra,19.10122,74.73339
"Tarapur, Silchar - PCBA",2026-09-09,1.0923,1.0,1.0375,0.99,1.0548,High,Silchar,Assam,24.82827,92.79525
"Tata Stadium, Jorapokhar - JSPCB",2026-09-09,1.3765,1.3729,1.1651,0.99,1.3195,High,Jorapokhar,Jharkhand,23.707909,86.41467
"Tata Township, Bileipada - OSPCB",2026-09-09,1.2172,1.2214,1.3139,0.87,1.2417,High,Bileipada,Odisha,22.06156703,85.47409613
"Teri Gram, Gurugram - HSPCB",2026-09-09,2.0556,1.8667,1.8653,1.0,1.9585,High,Gurugram,Haryana,28.4275,77.1465
"Thavakkara, Kannur - Kerala PCB",2026-09-09,1.4665,1.6283,1.1133,0.89,1.4051,High,Kannur,Kerala,11.875,75.3732
"Thergaon, Pimpri Chinchwad - MPCB",2026-09-09,0.9235,1.0,1.0887,0.98,0.9816,High,Pimpri-Chinchwad,Maharashtra,18.616318,73.765797
"Thimmalapura, Tumakuru - KSPCB",2026-08-12,,1.0,1.0,0.2,,Provisional,Tumakuru,Karnataka,13.377516,77.099072
"Toll Gate, Tirumala - APPCB",2026-09-09,1.0464,1.0678,1.1112,0.99,1.0677,High,Tirumala,Andhra Pradesh,13.67,79.35
"Tondare-Taloja, Navi Mumbai - MPCB",2026-09-09,1.0377,1.0,1.2216,0.92,1.071,High,Navi Mumbai,Maharashtra,19.063,73.1209
"Town Hall, Munger - BSPCB",2026-09-09,1.4684,1.2828,1.2548,0.85,1.3649,High,Munger,Bihar,25.376776,86.471523
"Transport Nagar, Moradabad - UPPCB",2026-09-09,1.5057,1.4485,1.5787,0.98,1.5089,High,Moradabad,Uttar Pradesh,28.802625,78.753728
"Transport Nagar-Nigdi, Pune - IITM",2026-09-09,1.2008,1.0,1.1239,0.88,1.1283,High,Pimpri-Chinchwad,Maharashtra,18.664282,73.763966
"Trivenidevi Bhalotia College, Asansol - WBPCB",2026-09-09,0.9147,1.0,1.0417,0.95,0.9662,High,Asansol,West Bengal,23.616515,87.119133
"Udyogamandal, Eloor - Kerala PCB",2026-09-09,1.155,1.0,1.0222,0.92,1.0806,High,Eloor,Kerala,10.073232,76.302765
"Upvan Fort, Thane - MPCB",2026-09-09,0.7538,1.0,1.0592,0.98,0.8808,High,Thane,Maharashtra,19.222279,72.957979
"Urban Estate-II, Hisar - HSPCB",2026-09-09,1.4563,1.276,1.4198,0.98,1.4001,High,Hisar,Haryana,29.14056,75.744941
"Urban, Chamarajanagar - KSPCB",2026-09-09,1.0688,1.0,1.0597,0.99,1.0489,High,Chamarajanagar,Karnataka,11.55358,76.55521
"Urja Nagar, Korba - CECB",2026-09-09,0.6477,1.0,1.138,0.98,0.8312,High,Korba,Chhattisgarh,22.348441,82.549611
"Vaikuntapuram, Tirupati - APPCB",2026-09-09,1.4388,1.1142,1.1114,0.93,1.2654,High,Tirupati,Andhra Pradesh,13.615387,79.40923
"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",2026-09-09,1.4332,1.3873,1.5229,0.88,1.4434,High,Bhiwadi,Rajasthan,28.207266,76.829265
"Vasundhara, Ghaziabad - UPPCB",2026-09-09,1.667,1.7027,1.7411,0.97,1.6942,High,Ghaziabad,Uttar Pradesh,28.6603346,77.3572563
"Ved Vihar-Loni, Ghaziabad - UPPCB",2026-09-09,1.7016,1.7798,1.739,0.99,1.7302,High,Ghaziabad,Uttar Pradesh,28.739153,77.273668
"Vedhaynath Colony, Sirohi - RSPCB",2026-09-09,1.0448,1.0333,1.1107,1.0,1.058,High,Sirohi,Rajasthan,24.885261,72.857549
"Velachery Res. Area, Chennai - CPCB",2026-09-09,1.3124,1.3,1.0887,1.0,1.2495,High,Chennai,Tamil Nadu,13.0052189,80.2398125
"Vibhab Nagar, Firozabad - UPPCB",2026-09-09,0.9137,1.0,1.037,0.9,0.9646,High,Firozabad,Uttar Pradesh,27.1594,78.3953
"Victoria, Kolkata - WBPCB",2026-09-09,1.6619,1.5973,1.5419,0.97,1.615,High,Kolkata,West Bengal,22.5448082,88.3403691
"Vidayagiri, Bagalkot - KSPCB",2026-08-12,1.0949,1.0,1.0,0.73,1.0464,Medium,Bagalkot,Karnataka,16.172806,75.659694
"Vidhyanagar, Bhavnagar - Nexteng Enviro",2026-09-09,1.1411,1.0,1.0444,1.0,1.0799,High,Bhavnagar,Gujarat,21.755417,72.139056
"Vigyan Nagar, Alwar - RSPCB",2026-09-09,1.3021,1.4383,1.1974,0.91,1.3072,High,Alwar,Rajasthan,27.598796,76.63861
"Vijay Nagar, Ramanagara - KSPCB",2026-09-09,0.9639,1.0333,1.1107,0.9,1.0162,High,Ramanagara,Karnataka,12.733409,77.298051
"Vijay Nagar, Sangli - MPCB",2026-09-09,0.8507,1.0,1.1398,0.96,0.953,High,Sangli,Maharashtra,16.5038,74.3623
"Vikas Sadan, Gurugram - HSPCB",2026-09-09,1.657,1.7006,1.9016,0.92,1.7262,High,Gurugram,Haryana,28.4501238,77.0263051
"Vinoba Nagara, Shivamogga - KSPCB",2026-09-09,1.1558,1.0,1.2321,1.0,1.1327,High,Shivamogga,Karnataka,13.94,75.555917
"Vithalwadi, Ulhasnagar - MPCB",2026-09-09,0.7893,1.0,1.1507,1.0,0.9201,High,Ulhasnagar,Maharashtra,19.2307571,73.155192
"Vivek Vihar, Delhi - DPCC",2026-09-09,1.4775,1.6103,1.4533,0.99,1.5034,High,Delhi,Delhi,28.672342,77.31526
"Ward-32 Bapupara, Siliguri - WBPCB",2026-09-09,1.1203,1.5842,1.0666,0.95,1.2068,High,Siliguri,West Bengal,26.6879226,88.4152495
"Wave City, Ghaziabad - UPPCB",2026-09-09,0.459,1.0,1.0,0.5,0.6775,Low,Ghaziabad,Uttar Pradesh,28.646675,77.489049
"Wazirpur, Delhi - DPCC",2026-09-09,2.0283,1.8971,1.8211,0.98,1.9417,High,Delhi,Delhi,28.699793,77.165453
"Womens College_City Center, Durgapur - WBPCB",2026-09-09,1.2816,1.2034,1.4756,0.99,1.3069,High,Durgapur,West Bengal,23.549395,87.300496
"Worli, Mumbai - MPCB",2026-09-09,1.0078,1.0373,1.1325,0.94,1.0451,High,Mumbai,Maharashtra,18.9936162,72.8128113
"Yamunapuram, Bulandshahr - UPPCB",2026-09-09,1.3432,1.4,1.4288,1.0,1.3783,High,Bulandshahr,Uttar Pradesh,28.406963,77.849831
"Yerramukkapalli, Kadapa - APPCB",2026-09-09,1.4404,1.4383,1.2945,0.91,1.4019,High,Kadapa,Andhra Pradesh,14.465052,78.824187
"Zero Point GICI, Gangtok - SSPCB",2026-09-09,0.6965,1.0,1.1471,0.86,0.8637,High,Gangtok,Sikkim,27.33853,88.614099
"Zoo Park, Hyderabad - TSPCB",2026-09-09,0.7971,1.0,1.2186,0.96,0.9381,High,Hyderabad,Telangana,17.349694,78.451437
