station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
"Mulund West, Mumbai - MPCB",2026-09-08,0.9141,1.0,1.0739,0.74,0.9733,Medium,Mumbai,Maharashtra,19.175,72.9419
"Mundka, Delhi - DPCC",2026-09-09,1.519,1.7459,1.3961,0.99,1.54,High,Delhi,Delhi,28.684678,77.076574
"Municipal Corporation Office, Dharuhera -  HSPCB",2026-09-09,1.6116,1.7798,1.4227,0.99,1.6014,High,Dharuhera,Haryana,28.2068,76.7997
"Muradpur, Patna - BSPCB",2026-09-09,1.1671,1.0358,1.0192,0.96,1.0951,High,Patna,Bihar,25.619651,85.147382
"Murthal, Sonipat - HSPCB",2026-09-09,1.246,1.2811,1.0327,0.97,1.1971,High,Sonipat,Haryana,29.0272,77.0621
"NISE Gwal Pahari, Gurugram - IITM",2026-09-09,1.4905,1.4667,1.2041,0.9,1.4074,High,Gurugram,Haryana,28.422681,77.148944
"NSI Kalyanpur, Kanpur - UPPCB",2026-09-09,1.2925,1.1,1.2116,1.0,1.2215,High,Kanpur,Uttar Pradesh,26.509954,80.249612
"NSIT Dwarka, Delhi - CPCB",2026-09-09,1.2413,1.1667,1.258,1.0,1.2263,High,Delhi,Delhi,28.60909,77.0325413
"NSUT Jaffarpur, Delhi - DPCC",2026-09-09,1.3572,1.276,1.2587,0.98,1.3115,High,Delhi,Delhi,28.594004,76.909423
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2026-09-09,1.1984,1.0,1.1122,0.95,1.1242,High,Hyderabad,Telangana,17.429398,78.569354
"Nagar Nigam, Prayagraj - UPPCB",2026-09-09,0.8264,1.0678,1.5527,0.99,1.0316,High,Prayagraj,Uttar Pradesh,25.44919916,81.82735986
"Nagar Palika Parishad, Baraut - UPPCB",2026-09-03,2.1466,1.7316,1.6113,0.88,1.8936,High,Baraut,Uttar Pradesh,29.09956,77.26235
"Nagla Bhau, Firozabad - UPPCB",2026-09-09,1.0766,1.0,1.1307,0.89,1.0699,High,Firozabad,Uttar Pradesh,27.168897,78.37696
"Naharlagun, Naharlagun - APSPCB",2026-09-09,0.9437,1.0,1.2644,1.0,1.0301,High,Naharlagun,Arunachal Pradesh,27.103358,93.679645
"Najafgarh, Delhi - DPCC",2026-09-09,1.2162,1.1667,1.2762,1.0,1.2182,High,Delhi,Delhi,28.570173,76.933762
"Narela, Delhi - DPCC",2026-09-09,1.4353,1.4485,1.6061,0.98,1.4796,High,Delhi,Delhi,28.822836,77.101981
"Nathu Colony, Ballabgarh - HSPCB",2026-09-09,1.4517,1.4568,1.3135,0.97,1.4171,High,Ballabgarh,Haryana,28.3419248,77.319699
"Navy Nagar-Colaba, Mumbai - IITM",2026-09-09,1.0597,1.0,1.1325,0.91,1.0619,High,Mumbai,Maharashtra,18.897756,72.81332
"Nawapara SECL Colony, Chhal - CECB",2026-09-09,1.1357,1.1491,1.2163,0.94,1.1587,High,Chhal,Chhattisgarh,22.118125,83.140608
"Nayapura, Kota - RSPCB",2026-09-09,1.2976,1.0667,1.1434,1.0,1.1971,High,Kota,Rajasthan,25.196024,75.855668
"Nehru Nagar, Delhi - DPCC",2026-09-09,1.6377,1.8,1.6173,1.0,1.6716,High,Delhi,Delhi,28.56789,77.250515
"Nehru Nagar, Kanpur - UPPCB",2026-09-09,1.2575,1.1757,1.2708,0.97,1.2398,High,Kanpur,Uttar Pradesh,26.4703136,80.3229863
"Nerul, Navi Mumbai - MPCB",2026-09-09,0.948,1.0,1.0923,0.74,0.9954,Medium,Navi Mumbai,Maharashtra,19.008751,73.01662
"New Anaj Mandi, Khairthal - RSPCB",2026-09-09,1.7395,1.6847,1.9238,0.86,1.7696,High,Khairthal,Rajasthan,27.8015617,76.6365217
"New Colony, Bundi - RSPCB",2026-09-09,1.1246,1.0,1.1543,0.97,1.0992,High,Bundi,Rajasthan,25.435774,75.644272
"New DM Office, Arrah - BSPCB",2026-09-09,1.012,1.0,1.075,0.88,1.0243,High,Arrah,Bihar,25.5626095,84.663264
"New Industrial Town, Faridabad - HSPCB",2026-09-09,1.5017,1.7798,1.2687,0.99,1.5022,High,Faridabad,Haryana,28.39072,77.30059
"New Malakpet, Hyderabad - TSPCB",2026-09-08,1.1249,1.0,1.1122,0.98,1.0892,High,Hyderabad,Telangana,17.37206,78.50864
"New Mandi, Muzaffarnagar - UPPCB",2026-09-09,1.5218,1.5333,1.8232,1.0,1.5951,High,Muzaffarnagar,Uttar Pradesh,29.4723508,77.7194031
"New Tehsil, Shamli - UPPCB",2026-09-09,1.3359,1.3114,1.6576,0.92,1.4034,High,Shamli,Uttar Pradesh,29.4603683,77.3410291
"North Campus, DU, Delhi - IITM",2026-09-09,1.9948,1.8971,1.5169,0.88,1.8395,High,Delhi,Delhi,28.6573814,77.1585447
"Nua Sandhakuda, Paradeep - OSPCB",2026-09-09,1.1963,1.0,1.0,0.71,1.0938,Medium,Paradeep,Odisha,20.258828,86.665185
"OP Jindal Industrial Park, Tumidih - CECB",2026-09-09,1.051,1.0,1.222,0.93,1.0779,High,Tumidih,Chhattisgarh,22.06631475,83.33820077
"OP Jindal School, Kunjemura - CECB",2026-09-09,0.7779,1.0345,1.3799,0.98,0.9641,High,Kunjemura,Chhattisgarh,22.12665,83.483212
